question,answer
"What is enacted by Act 14 of 1887, s. 79?",The details of this act are not provided in the text.
"Is the information about Act 14 of 1887, s. 79 provided in the text?","No, the details of this act are not provided in the text."
"What substitution was made by Act 10 of 1927, s. 2 and the First Sch.?","It was substituted for “any Articles of War for the Army of Navy of the Queen, or for any part of such Army or Navy”."
"What was substituted for “any Articles of War for the Army of Navy of the Queen, or for any part of such Army or Navy”?","It was substituted by Act 10 of 1927, s. 2 and the First Sch."
"What substitution was made by Act 3 of 1951, s. 3 and the Sch.?","It was substituted for “the Indian Army Act, 1911” and “the Indian Air Force Act, 1932”."
"Which acts were substituted by Act 3 of 1951, s. 3 and the Sch.?","“The Indian Army Act, 1911” and “the Indian Air Force Act, 1932” were substituted."
"What was inserted by Act 35 of 1934, s. 2 and the Sch.?",The details of this act are not provided in the text.
"What details can be provided for Act 35 of 1934, s. 2 and the Sch.?",The details of this act are not provided in the text.
Which words were omitted by the A. O. 1950?,The words “or that Act as modified by” were omitted.
What was omitted from the A. O. 1950?,The words “or that Act as modified by” were omitted.
"What should we now refer to as per the Navy Act, 1957 (62 of 1957)?",The details are not provided in the text.
"What details are missing in the text regarding the Navy Act, 1957 (62 of 1957)?","The specific aspect or part of the Navy Act, 1957 (62 of 1957) we should now refer to is not provided in the text."
"What substitution was made by Act 14 of 1932, s. 130 and Sch.?",It was substituted for “or the Air Force Act”.
"What was substituted for “or the Air Force Act” in Act 14 of 1932, s. 130 and Sch.?","It was Act 14 of 1932, s. 130 and Sch."
"What substitution was made by Act 10 of 1927, s. 2 and the First Sch.?",It was substituted for “or sailor”.
"What was substituted for “or sailor” according to Act 10 of 1927, s. 2 and the First Sch.?","Act 10 of 1927, s. 2 and the First Sch. made the substitution"
"What was substituted by s. 2 and the First Sch., ibid.,?",It was substituted for “or Naval”.
"What was “or Naval” replaced with according to s. 2 and the First Sch., ibid.,?","It was substituted by s. 2 and the First Sch., ibid.,."
What substitution was made by the A. O. 1950?,It was substituted for “Queen” and “the Central or any Provincial Government or Legislature”.
What was substituted for “Queen” and “the Central or any Provincial Government or Legislature” by A. O. 1950?,It was the A. O. 1950 substitution
"What is the punishment for joining or continuing in an unlawful assembly, knowing it has been commanded to disperse?","The punishment is imprisonment of either description for a term which may extent to two years, or with fine, or with both."
"What is the maximum term of imprisonment, fine, or both for someone who continues in an unlawful assembly even after it has been commanded to disperse?","The maximum term of imprisonment is up to two years, or there may be a fine, or both."
What is the definition of rioting?,"Rioting is defined as whenever force or violence is used by an unlawful assembly, or by any member thereof, in prosecution of the common object of such assembly."
What is the common object of an unlawful assembly using force or violence referred to as?,The common object of an unlawful assembly using force or violence is referred to as rioting.
What is the punishment for rioting?,"The punishment for rioting is imprisonment of either description for a term which may extend to two years, or with fine, or with both."
What is the maximum term of imprisonment and the potential additional penalties for someone convicted of rioting?,"The maximum term of imprisonment for someone convicted of rioting is two years, and the additional penalties may include a fine or both imprisonment and a fine."
"What is the punishment for rioting, being armed with a deadly weapon?","The punishment is imprisonment of either description for a term which may extend to three years, or with fine, or with both."
"What is the maximum sentence, including fines, one might receive for rioting while armed with a deadly weapon?","The maximum sentence one might receive for rioting while armed with a deadly weapon is imprisonment which may extend to three years, or with a fine, or both."
What is the penalty for a member of an unlawful assembly who commits an offence in prosecution of the common object of that assembly?,"Every person who, at the time of the committing of that offence, is a member of the same assembly, is guilty of that offence."
Who is guilty of an offence committed in prosecution of the common object of an unlawful assembly?,"Every person who, at the time of the committing of that offence, is a member of the same assembly, is guilty of that offence."
"What is the punishment for someone who hires, engages, or employs someone to join an unlawful assembly?","They shall be punishable as a member of such unlawful assembly, and for any offence which may be committed by any such person as a member of such unlawful assembly in pursuance of such hiring, engagement or employment."
"What happens to a person who hires, engages, or employs someone to join an unlawful assembly, and that person commits an offence as a member of such unlawful assembly?","They shall be punishable as a member of such unlawful assembly, and for any offence which may be committed by any such person as a member of such unlawful assembly in pursuance of such hiring, engagement or employment."
What is the punishment for knowingly joining or continuing in an assembly of five or more persons after it has been commanded to disperse?,"Whoever knowingly joins or continues in any assembly of five or more persons likely to cause a disturbance of the public peace, after such assembly has been lawfully commanded to disperse, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both."
"What happens to someone who knowingly stays in a group of five or more people, likely to disturb public peace, after the group has been lawfully commanded to disperse?","The person shall be punished with imprisonment of either description for a term which may extend to six months, or with a fine, or with both."
What is the penalty for assaulting or obstructing a public servant when suppressing a riot or unlawful assembly?,"Whoever assaults or threatens to assault, or obstructs or attempts to obstruct, any public servant in the discharge of his duty as such public servant, in endeavouring to disperse an unlawful assembly, or to suppress a riot or affray, shall be punished with imprisonment of either description for a term which may extend."
"What happens to someone who assaults, threatens to assault, obstructs or attempts to obstruct a public servant while they are trying to disperse an unlawful assembly or suppress a riot or affray?",They shall be punished with imprisonment of either description for a term which may extend.
What is the punishment for wantonly giving provocation with intent to cause riot?,"If the offence of rioting is committed, it is punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both. If the offence of rioting is not committed, it is punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both."
What is the potential penalty for someone who commits the offence of rioting after being wantonly provoked with intent to cause the riot? What if the offence of rioting is not committed?,"If the offence of rioting is committed, it is punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both. If the offence of rioting is not committed, it is punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both."
What is the offence under 153A?,"The offense under 153A is promoting enmity between different groups on grounds of religion, race, place of birth, residence, language, caste or community or any other ground, and doing acts that are prejudicial to the maintenance of harmony."
"Which law is associated with the offence of promoting enmity between different groups on grounds of religion, race, place of birth, residence, language, caste or community or any other ground, and doing acts that are prejudicial to the maintenance of harmony?","The offence of promoting enmity between different groups on grounds of religion, race, place of birth, residence, language, caste or community or any other ground, and doing acts prejudicial to the maintenance of harmony is under 153A."
What activities fall under the offence in 153A?,"Activities that fall under the offence include: promoting or attempting to promote disharmony or feelings of enmity, hatred or ill-will between different groups, committing any act which disturbs or is likely to disturb the public tranquillity, and organizing or participating in any exercise or activity intending that the participants will use or be trained to use criminal force or violence."
"What does promoting disharmony or feelings of enmity, hatred or ill-will between different groups, committing any act which disturbs or is likely to disturb the public tranquillity, and organizing or participating in any exercise or activity intending that the participants will use or be trained to use criminal force or violence constitute?",These activities fall under the offence in 153A.
"What is the punishment for participating in activities likely to cause fear or alarm among any religious, racial, language or regional group or caste or community?","The punishment can extend to three years of imprisonment, or a fine, or both."
"What is the penalty for causing fear or alarm among any religious, racial, language or regional group or caste or community?","The penalty can extend to three years of imprisonment, or a fine, or both."
What is the punishment for committing an offence in a place of worship or during religious ceremonies?,The punishment can extend to five years of imprisonment and a fine.
What can the punishment extend to for committing an offence in a place of worship or during religious ceremonies?,The punishment can extend to five years of imprisonment and a fine.
"What is the punishment for knowingly carrying arms in any procession or participating in mass drill or training with arms in violation of section 144A of the Code of Criminal Procedure, 1973?",The punishment can extend to six months of imprisonment and a fine up to two thousand rupees.
"What is the maximum penalty for a person violating section 144A of the Code of Criminal Procedure, 1973 by knowingly carrying arms in a procession or participating in mass drill or training with arms?",The maximum penalty can be up to six months of imprisonment and a fine of two thousand rupees.
What does 'Arms' refer to in the context of section 153AA?,"'Arms' refers to articles of any description designed or adapted as weapons for offence or defence, including firearms, sharp edged weapons, lathis, dandas and sticks."
What are the items included when referring to 'Arms' as per section 153AA?,"'Arms' includes articles of any description designed or adapted as weapons for offence or defence, such as firearms, sharp edged weapons, lathis, dandas and sticks."
What constitutes an offence under section 153B?,"Making or publishing any imputation that any class of persons cannot, by reason of their being members of any religious, racial, language or regional group or caste or community, bear true faith and allegiance to the Constitution constitutes an offence."
"What action would be considered an offence as per section 153B, involving members of any religious, racial, language or regional group or caste or community?",Making or publishing any imputation that they cannot bear true faith and allegiance to the Constitution is considered an offence under section 153B.
"What punishment will be given to whoever asserts, counsels, advises, propagates or publishes that certain class of people should be denied their rights as citizens of India?","Such a person shall be punished with imprisonment which may extend to three years, or with fine, or with both."
"What is the penalty for someone who asserts, counsels, advises, propagates or publishes that a certain class of people should be denied their rights as citizens of India?","The person can be imprisoned for up to three years, fined, or both."
What consequences will face the person who commits an offence specified in sub-section (1) in any place of worship or in any assembly engaged in religious worship?,Such a person shall be punished with imprisonment which may extend to five years and shall also be liable to fine.
What is the punishment for a person who commits an offence specified in sub-section (1) in any place of worship or in any assembly engaged in religious worship?,The punishment is imprisonment which may extend to five years and the person shall also be liable to fine.
What is the penalty for the owner or occupier of land on which an unlawful assembly is held?,"The owner or occupier of the land could be punishable with a fine not exceeding one thousand rupees, if they do not report the unlawful assembly to the nearest police-station and do not use all lawful means in their power to prevent it."
What could happen if the owner or occupier of a land does not report an unlawful assembly to the nearest police-station and does not use all lawful means to prevent it?,The owner or occupier of the land could be punishable with a fine not exceeding one thousand rupees.
What is the liability of a person for whose benefit a riot is committed?,"Such person shall be punishable with fine, if he or his agent or manager, having reason to believe that such riot was likely to be committed or that the unlawful assembly by which such riot was committed was likely to be held, shall not respectively use all lawful means in his or their power to prevent such assembly or riot from taking place, and for suppressing and dispersing the same."
"What are the consequences for a person or his agent or manager who had reason to believe a riot was likely to be committed or an unlawful assembly was likely to be held for his benefit, but did not use all lawful means in his or their power to prevent such assembly or riot from taking place, and for suppressing and dispersing the same?",Such person shall be punishable with fine.
What is the liability of an agent of an owner or occupier for whose benefit a riot is committed?,"The agent or manager of such person shall be punishable with fine, if such agent or manager, having reason to believe that such riot was likely to be committed, or that the unlawful assembly by which such riot was committed was likely to be held, shall not use all lawful means in his power to prevent such riot or assembly from taking place and for suppressing and dispersing the same."
"What are the legal consequences for an agent or manager of an owner or occupier who fails to prevent a riot or assembly, despite knowing it was likely to occur, for which they are benefiting?","The agent or manager of such person shall be punishable with fine, if such agent or manager, having reason to believe that such riot was likely to be committed, or that the unlawful assembly by which such riot was committed was likely to be held, shall not use all lawful means in his power to prevent such riot or assembly from taking place and for suppressing and dispersing the same."
What is the consequence of harbouring persons hired for an unlawful assembly?,"Whoever harbours, receives or assembles, in any house or premises in his occupation or charge, or under his control any persons knowing that such persons have been hired, engaged or employed, or are about to be hired, engaged or employed, to join or become members of an unlawful assembly would be liable."
"Who would be liable if they harboured, received, or assembled persons in their house or premises knowing those persons were hired, engaged, or employed to join an unlawful assembly?","Whoever harbours, receives or assembles, in any house or premises in his occupation or charge, or under his control any persons knowing that such persons have been hired, engaged or employed, or are about to be hired, engaged or employed, to join or become members of an unlawful assembly would be liable."
What is the punishment for being hired to take part in an unlawful assembly or riot?,"The punishment for being hired to take part in an unlawful assembly or riot is imprisonment of either description for a term which may extend to six months, or with fine, or with both."
What could be the potential penalties if someone is found guilty of being paid to participate in an illegal gathering or riot?,"The potential penalties for being found guilty of being paid to participate in an illegal gathering or riot can include imprisonment of any type for up to six months, a fine, or both."
What is the punishment for going armed or attempting to go armed during an unlawful assembly or riot?,"The punishment for going armed or attempting to go armed during an unlawful assembly or riot is imprisonment of either description for a term which may extend to two years, or with fine, or with both."
What is the maximum sentence and potential fines for someone who is caught going armed or attempting to go armed during an unlawful assembly or riot?,"The maximum sentence is imprisonment of either description for a term which may extend to two years, and they may also face a fine, or both."
What is the definition of 'committing an affray'?,"Committing an affray is defined as when two or more persons, by fighting in a public place, disturb the public peace."
"What action, when performed by two or more persons in a public place, is defined as disturbing the public peace?",Fighting in a public place by two or more persons is defined as disturbing the public peace and is termed as 'committing an affray'.
What is the punishment for committing an affray?,"The punishment for committing an affray is imprisonment of either description for a term which may extend to one month, or with fine which may extend to one hundred rupees, or with both."
What does the term of imprisonment or fine extend to for committing an affray?,"The term of imprisonment for committing an affray may extend to one month, and the fine may extend to one hundred rupees."
What were the offences related to public servants?,"The offences related to public servants were taking a gratification other than legal remuneration, taking a gratification to influence a public servant, taking a gratification for personal influence with a public servant, abetment by public servant of the offences, and public servant obtaining any valuable thing without consideration. However, these were repealed by the Prevention of Corruption Act, 1988."
"Which act repealed the offences of taking a gratification other than legal remuneration, taking a gratification to influence a public servant, taking a gratification for personal influence with a public servant, abetment by public servant of the offences, and public servant obtaining any valuable thing without consideration?","The Prevention of Corruption Act, 1988 repealed these offences related to public servants."
What is the punishment for a public servant who knowingly disobeys any direction of the law with intent to cause injury to any person?,"The public servant shall be punished with simple imprisonment for a term which may extend to one year, or with fine, or with both."
"What is the maximum term for simple imprisonment, or the alternative punishment, for a public servant who disobeys any direction of the law with intent to cause injury to any person?","The maximum term for simple imprisonment is one year. The alternative punishment can be a fine, or both imprisonment and fine."
What action is described in the illustration provided for section 166?,"An officer directed by law to take property in execution to satisfy a decree knowingly disobeys that direction of law, causing injury to the person in whose favour the decree was pronounced."
Who is depicted causing injury by knowingly disobeying the direction of law to take property in execution to satisfy a decree in the illustration for section 166?,An officer directed by law
What are the scenarios under which a public servant can be punished under section 166A?,"A public servant can be punished under section 166A if they knowingly disobey any direction of the law which prohibits them from requiring the attendance at any place of any person for investigation, if they disobey any other direction of the law regulating how they should conduct such investigation or if they fail to record any information given to them in relation to a cognizable offence."
In what situations can a public servant be accused of violating section 166A?,"A public servant can be accused of violating section 166A if they knowingly disobey any direction of the law which prohibits them from requiring the attendance at any place of any person for investigation, disobey any other direction of the law regulating how they should conduct such investigation, or fail to record any information given to them in relation to a cognizable offence."
What is the punishment for a public servant who disobeys direction under law according to section 166A?,"The public servant shall be punished with rigorous imprisonment for a term which shall not be less than six months but which may extend to two years, and shall also be liable to fine."
"What is the penalty, in terms of imprisonment and fine, for a public servant who disobeys direction under law according to section 166A?","The public servant shall be punished with rigorous imprisonment for a term which shall not be less than six months but which may extend to two years, and shall also be liable to fine."
What does section 166B pertain to?,"Section 166B pertains to the punishment for non-treatment of a victim by anyone in charge of a hospital, whether public or private."
Who does Section 166B provide punishment for?,"Section 166B provides punishment for anyone in charge of a hospital, whether public or private, who does not treat a victim."
"What is the punishment for contravening the provisions of section 357C of the Code of Criminal Procedure, 1973?","The punishment may extend to one year of imprisonment, or with fine, or with both."
"What is the maximum penalty for a crime that may extend to one year of imprisonment, or with fine, or with both?","Contravening the provisions of section 357C of the Code of Criminal Procedure, 1973 can result in a punishment that may extend to one year of imprisonment, or with fine, or with both."
What is the punishment for a public servant who frames an incorrect document with intent to cause injury?,"The punishment can extend up to three years of imprisonment, or with fine, or with both."
"What is the maximum punishment, including potential fines, for a public servant who intentionally frames an incorrect document to cause harm?","The punishment can extend up to three years of imprisonment, or with fine, or with both."
What is the punishment for a public servant who unlawfully engages in trade?,"The punishment can extend to one year of simple imprisonment, or with fine, or with both."
"What can be the maximum extent of punishment, including imprisonment and fine, for a public servant who unlawfully engages in trade?","The punishment can extend to one year of simple imprisonment, or with fine, or with both."
What is the punishment for a public servant who unlawfully buys or bids for property?,"The punishment can extend up to two years of simple imprisonment, or with fine, or with both. In addition, the property, if purchased, shall be confiscated."
"What happens to a public servant who unlawfully buys or bids for property, and what happens to the property if purchased?","The public servant can be punished with up to two years of simple imprisonment, or with fine, or with both. Additionally, the property, if purchased, shall be confiscated."
What is the punishment for a person who pretends to hold a public servant's office?,"The punishment can extend up to three years of imprisonment, or with fine, or with both."
"What is the maximum length of imprisonment, or other penalties, for someone who falsely claims to be a public servant?","The maximum length of imprisonment is up to three years, and the person can also be punished with a fine, or both."
What is the punishment for wearing garb or carrying token used by public servants with fraudulent intent?,"The punishment is imprisonment of either description for a term which may extend to three months, or with fine which may extend to two hundred rupees, or with both."
What could be the potential consequences for someone who wears garb or carries a token used by public servants with fraudulent intent?,"The potential consequences could be imprisonment of either description for a term which may extend to three months, or with a fine which may extend to two hundred rupees, or with both."
What does 'candidate' mean in the context of Chapter IXA of OFFENCESRELATING TO ELECTIONS?,A 'candidate' means a person who has been nominated as a candidate at any election.
Who is referred to as a 'candidate' in the context of an election?,A 'candidate' refers to a person who has been nominated as a candidate at any election.
What does 'electoral right' refer to?,"Electoral right means the right of a person to stand, or not to stand as, or to withdraw from being, a candidate or to vote or refrain from voting at an election."
"What does it mean when a person has the right to stand, or not to stand as, or to withdraw from being, a candidate or to vote or refrain from voting at an election?",It refers to the 'electoral right'.
What constitutes the offence of bribery in the context of elections?,The offence of bribery is committed when a person gives a gratification to any person with the object of inducing him or any other person to exercise any electoral right or of rewarding any person for having exercised any such right; or accepts either for himself or for any other person any gratification as a reward for exercising any such right or for inducing or attempting to induce any other person to exercise any such right.
What actions are considered as committing the offence of bribery in relation to electoral rights?,The offence of bribery is committed when a person gives a gratification to any person with the object of inducing him or any other person to exercise any electoral right or of rewarding any person for having exercised any such right; or accepts either for himself or for any other person any gratification as a reward for exercising any such right or for inducing or attempting to induce any other person to exercise any such right.
What does it mean to accept a gratification?,"Accepting a gratification refers to obtaining or agreeing to accept or attempting to obtain a favor or reward. It also includes accepting such gratification as a motive for doing something one does not intend to do, or as a reward for something one has not done."
"What does obtaining or agreeing to accept a favor or reward, or accepting such gratification as a motive for doing something one does not intend to do, or as a reward for something one has not done refer to?",This refers to accepting a gratification.
What is the offense of undue influence at an election?,"The offense of undue influence at an election involves voluntarily interfering or attempting to interfere with the free exercise of any electoral right. This can include threatening any candidate or voter, or inducing or attempting to induce a candidate or voter to believe that they will become an object of Divine displeasure or spiritual censure."
"What does it mean when someone voluntarily interferes or attempts to interfere with the free exercise of any electoral right, including threatening or inducing a candidate or voter to believe that they will become an object of Divine displeasure or spiritual censure?",This is referred to as the offense of undue influence at an election.
What is personation at elections?,"Personation at elections is an offense committed when a person at an election applies for a voting paper in the name of any other person, whether living or dead, or in a fictitious name, or having voted once at such election applies at the same election for a voting paper in his own name. It also includes abetting, procuring or attempting to procure the voting by any person in such a way."
"What does it mean when a person applies for a voting paper in the name of another person, whether living, dead, or fictitious, or votes again at the same election in their own name?","This is called personation at elections, which is an offense. It also includes abetting, procuring or attempting to procure the voting by any person in such a way."
What is not considered interference within the meaning of section 171C?,A declaration of public policy or a promise of public action or the mere exercise of a legal right without intent to interfere with an electoral right is not deemed to be interference within the meaning of section 171C.
What acts or behaviors are not deemed to be interference within the meaning of section 171C?,"A declaration of public policy, a promise of public action, or the mere exercise of a legal right without intent to interfere with an electoral right are not considered interference within the meaning of section 171C."
Who is exempted from the offense of personation at elections?,"A person who has been authorised to vote as a proxy for an elector under any law for the time being in force is exempted from the offense of personation at elections, in so far as he votes as a proxy."
Who is a person who has been authorised to vote as a proxy for an elector under any law for the time being in force exempted from?,A person who has been authorised to vote as a proxy for an elector under any law for the time being in force is exempted from the offense of personation at elections.
What is the punishment for committing bribery?,"The punishment for committing bribery is either imprisonment for a term which may extend to one year, or fine, or both. However, bribery by treating is punished with fine only."
"What is the maximum imprisonment term and possible fines for committing bribery, and what is the punishment for bribery by treating?","The maximum imprisonment term for committing bribery can extend to one year, and it may also be accompanied by a fine. However, bribery by treating is only punished with a fine."
What does 'Treating' mean in the context of bribery?,"'Treating' in the context of bribery means the form of bribery where the gratification consists in food, drink, entertainment, or provision."
"What form of bribery consists in food, drink, entertainment, or provision?","'Treating' is the form of bribery that consists in food, drink, entertainment, or provision."
What is the punishment for undue influence or personation at an election?,"The punishment for undue influence or personation at an election is imprisonment of either description for a term which may extend to one year or with fine, or with both."
What may happen to someone who is guilty of undue influence or personation at an election?,"Someone who is guilty of undue influence or personation at an election may face imprisonment of either description for a term which may extend to one year or with fine, or with both."
What is the punishment for making or publishing a false statement in connection with an election?,The punishment for making or publishing a false statement in connection with an election is fine.
What is the consequence for making or publishing a false statement in connection with an election?,The consequence for making or publishing a false statement in connection with an election is a fine.
What is the punishment for illegal payments in connection with an election?,The punishment for illegal payments in connection with an election is fine which may extend to five hundred rupees.
What is the penalty for making illegal payments related to an election?,The penalty for making illegal payments related to an election is a fine which may extend to five hundred rupees.
What is the consequence for failing to keep election accounts?,"The law does not provide a specific punishment for failing to keep election accounts, it only states that whoever being required by any law for the time being in force or any rule having the force of law to keep accounts of expenses incurred at an election must do so."
What does the law state about the requirement to keep accounts of election expenses?,"The law states that whoever is required by any law for the time being in force or any rule having the force of law to keep accounts of expenses incurred at an election must do so. However, it does not provide a specific punishment for failing to keep these accounts."
What is the punishment for not keeping accounts in connection with an election?,The punishment is a fine which may extend to five hundred rupees.
What may the fine extend to for not keeping accounts in connection with an election?,The fine may extend to five hundred rupees.
What is the punishment for absconding to avoid service of summons or other proceeding?,"The punishment is simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both."
What is the maximum duration of imprisonment or fine for someone who absconds to avoid service of summons or other proceeding?,The maximum duration of imprisonment can be up to one month and the fine can extend up to five hundred rupees.
"What is the punishment if the summons, notice, or order is to attend in person or by agent, or to produce a document or an electronic record in a Court of Justice?","The punishment is simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
"What is the maximum term and fine for not attending in person or by agent, or not producing a document or an electronic record when ordered by a Court of Justice?",The maximum term is simple imprisonment for six months and the maximum fine is one thousand rupees. It can also be both.
"What is the punishment for preventing service of summons or other proceeding, or preventing publication thereof?","The punishment is simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both."
"What is the maximum term of imprisonment and fine for a crime that includes preventing service of summons or other proceeding, or preventing publication thereof?",The maximum term of imprisonment may extend to one month and the fine may extend to five hundred rupees.
What is the punishment for not attending in person or by agent in a Court of Justice when ordered to produce a document or electronic record?,"The punishment is simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
"What does the punishment of simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both apply to?",This punishment applies to not attending in person or by agent in a Court of Justice when ordered to produce a document or electronic record.
What is the consequence for intentionally omitting to attend at a specific place or time when being legally bound to do so?,"The person shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both."
What punishment is given to a person who intentionally fails to attend a specific place or time when legally bound to do so?,"The person shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both."
What is the punishment for non-attendance in obedience to an order from a public servant?,"The punishment is simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both."
"What does simple imprisonment for a term which may extend to one month, or with a fine which may extend to five hundred rupees, or with both refer to in terms of legal punishment?",This refers to the punishment for non-attendance in obedience to an order from a public servant.
"What is the consequence if a person fails to appear at the specified place and time as required by a proclamation under sub-section (1) of section 82 of the Code of Criminal Procedure, 1973?",The person shall be punished with imprisonment for a term which may extend to three years or with fine or with both.
"What is the punishment for not appearing at the specified place and time as required by a proclamation under sub-section (1) of section 82 of the Code of Criminal Procedure, 1973?",The person shall be punished with imprisonment for a term which may extend to three years or with fine or with both.
"What is the penalty for not appearing before the [High Court] at Calcutta, in obedience to a subpoena issuing from that Court?",The person has committed an offence and shall be punished as defined in this section.
What happens to a person who does not appear before the High Court at Calcutta when subpoenaed by that Court?,The person has committed an offence and shall be punished as defined in this section.
"What is the consequence for not appearing before a District Judge, as a witness, in obedience to a summons issued by that District Judge?",The person has committed an offence and shall be punished as defined in this section.
"What happens to a person who has committed an offence by not appearing before a District Judge as a witness, in obedience to a summons issued by that District Judge?",The person shall be punished as defined in this section.
What is the punishment for a person who is legally bound to produce or deliver a document or electronic record to a public servant and intentionally omits to do so?,"The person shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both."
What is the penalty for someone who intentionally fails to produce or deliver a document or electronic record they are legally obligated to give to a public servant?,"The penalty is simple imprisonment for a term which may extend to one month, or with a fine which may extend to five hundred rupees, or with both."
What is the punishment if the document or electronic record is to be produced or delivered up to a Court of Justice?,"The punishment is simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
What does the law prescribe as punishment for not producing or delivering up a required document or electronic record to a Court of Justice?,"The law prescribes simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
What is the punishment for a person who is legally bound to give any notice or to furnish information on any subject to any public servant and intentionally omits to do so?,"The person shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both."
What is the penalty for someone who intentionally fails to provide legally required information or notices to a public servant?,"The penalty is simple imprisonment for a term which may extend to one month, or a fine which may extend to five hundred rupees, or both."
What is the punishment for a person who has been made a proclaimed offender under sub-section (4)?,The person shall be punished with imprisonment for a term which may extend to seven years and shall also be liable to fine.
What is the maximum term of imprisonment and other liability for a person made a proclaimed offender under sub-section (4)?,The maximum term of imprisonment may extend to seven years and the person shall also be liable to a fine.
"What is the punishment for someone who, being legally bound to provide information, furnishes false information to a public servant?","They can be punished with simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
"What is the potential penalty for someone who, being legally obligated to share accurate information, gives false information to a public servant?","The person could face simple imprisonment for a term that may extend up to six months, a fine that could reach one thousand rupees, or both."
"What is the punishment if the false information given by someone legally bound to do so respects the commission of an offence, or is required for preventing an offence, or apprehension of an offender?","They can be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
"What could potentially happen to someone who provides false information while legally bound to do so, in relation to the commission of an offence, prevention of an offence, or apprehension of an offender?","They can be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both."
What is the example provided for someone furnishing false information about the commission of a murder?,"A, a landholder, knowing of the commission of a murder within the limits of his estate, wilfully misinforms the Magistrate of the district that the death has occurred by accident in consequence of the bite of a snake."
"Who misinformed the Magistrate of a district about a murder in his estate, claiming it was an accidental death caused by a snake bite?","A, a landholder"
What is the example provided for a village watchman furnishing false information about a group planning to commit a dacoity?,"A, a village watchman, knowing that a considerable body of strangers has passed through his village in order to commit a dacoity in the house of Z, a wealthy merchant residing in a neighbouring place, and being bound under clause 5, section VII, Regulation III, 1821, of the Bengal Code, to give early and punctual information of the above fact to the officer."
"Who is obligated under clause 5, section VII, Regulation III, 1821, of the Bengal Code to provide information about a group of strangers planning to commit dacoity in the house of a neighboring wealthy merchant?","A, a village watchman, is obligated to provide this information."
What is A guilty of if he misinforms the police officer about suspicious characters intending to commit dacoity?,A is guilty of the offence defined in the latter part of this section.
Who is guilty of the offence defined in the latter part of this section?,A is guilty if he misinforms the police officer about suspicious characters intending to commit dacoity.
"What includes any act committed at any place out of India, if committed in India, would be punishable under specific sections?",The word 'offence' includes any such act.
"What term is used to describe any act committed at any place out of India, that if committed in India, would be punishable under specific sections?",The word 'offence' is used to describe such acts.
Who does the word 'offender' include?,The word 'offender' includes any person who is alleged to have been guilty of any such act.
Who is referred to as a person who is alleged to have been guilty of any such act?,A person who is alleged to have been guilty of any such act is referred to as an 'offender'.
"What is the punishment for refusing to bind oneself by an oath to state the truth, when required by a public servant?","The punishment is a simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
What are the potential consequences for not swearing to tell the truth when asked by a public official?,"The potential consequences are a simple imprisonment for a term which may extend to six months, a fine which may extend to one thousand rupees, or both."
"What is the punishment for refusing to answer any question demanded by a public servant, when bound to state the truth on any subject?","The punishment is a simple imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both."
